ANEXO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO
ANEXO III,Pequeno,Médio,20.0,20.0,20.0
ANEXO IX,Pequeno,Médio,40.0,45.0,50.0
ANEXO VII,Mínimo,Alto,20.0,30.0,30.0
ANEXO VII,Pequeno,Alto,30.0,60.0,60.0
ANEXO VII,Pequeno,Médio,40.0,90.0,90.0
ANEXO VII,Grande,Alto,50.0,100.0,120.0
ANEXO VII,Excepcional,Alto,60.0,120.0,150.0
ANEXO VIII,Pequeno,Médio,35.0,70.0,70.0
ANEXO X,Pequeno,Médio,50.0,100.0,120.0
ANEXO XI,-,Alto,10.0,35.0,45.0
ANEXO XI,Pequeno,Alto,40.0,50.0,60.0
ANEXO XI,Pequeno,Alto,10.0,50.0,80.0
ANEXO XI,Pequeno,Alto,10.0,120.0,220.0
ANEXO XI,Pequeno,Médio,35.0,40.0,45.0
ANEXO XI,Grande,Alto,10.0,200.0,300.0
ANEXO XL,Pequeno,Médio,5.0,10.0,15.0
ANEXO XL,Pequeno,Médio,10.0,15.0,30.0
ANEXO XL,Grande,Médio,10.0,30.0,60.0
ANEXO XL,Grande,Médio,10.0,40.0,100.0
ANEXO XLI,Pequeno,Médio,10.0,60.0,160.0
ANEXO XLI,Grande,Médio,10.0,80.0,220.0
ANEXO XLIII,Pequeno,Baixo,30.0,30.0,30.0
ANEXO XLIV,Pequeno,Alto,10.0,20.0,40.0
ANEXO XLIV,Pequeno,Alto,10.0,30.0,50.0
ANEXO XLIV,Pequeno,Médio,5.0,10.0,20.0
ANEXO XLIV,Pequeno,Médio,5.0,20.0,30.0
ANEXO XLIV,Médio,Alto,10.0,10.0,30.0
ANEXO XLIV,Grande,Alto,10.0,40.0,60.0
ANEXO XLIV,Grande,Médio,5.0,30.0,40.0
ANEXO XLIV,Excepcional,Médio,5.0,40.0,50.0
ANEXO XLVI,Pequeno,Médio,10.0,20.0,50.0
ANEXO XV,-,Alto,10.0,20.0,40.0
ANEXO XV,Pequeno,Alto,10.0,35.0,100.0
ANEXO XVI,Pequeno,Médio,20.0,50.0,150.0
ANEXO XVII,Pequeno,Alto,10.0,60.0,120.0
ANEXO XVII,Pequeno,Alto,10.0,80.0,170.0
ANEXO XVII,Pequeno,Baixo,10.0,25.0,50.0
ANEXO XVII,Pequeno,Médio,10.0,20.0,60.0
ANEXO XVII,Pequeno,Médio,10.0,45.0,120.0
ANEXO XVII,Médio,Alto,10.0,40.0,80.0
ANEXO XVII,Grande,Baixo,10.0,35.0,100.0
ANEXO XVII,Excepcional,Alto,10.0,150.0,300.0
ANEXO XVIII,Pequeno,Médio,10.0,15.0,40.0
ANEXO XXI,Pequeno,Médio,15.0,15.0,15.0
ANEXO XXI,Grande,Médio,50.0,50.0,50.0
ANEXO XXVII,Mínimo,Baixo,5.0,5.0,5.0
ANEXO XXVII,Pequeno,Alto,10.0,45.0,90.0
ANEXO XXVII,Pequeno,Baixo,8.0,8.0,8.0
ANEXO XXVII,Pequeno,Médio,10.0,25.0,25.0
ANEXO XXVII,Pequeno,Médio,10.0,25.0,40.0
ANEXO XXVII,Grande,Baixo,10.0,35.0,35.0
ANEXO XXVII,Excepcional,Baixo,10.0,55.0,55.0
ANEXO XXXIX,Pequeno,Alto,30.0,60.0,75.0
ANEXO XXXIX,Pequeno,Alto,45.0,100.0,120.0
ANEXO XXXIX,Médio,Alto,15.0,45.0,45.0
ANEXO XXXIX,Grande,Alto,100.0,160.0,380.0
ANEXO XXXIX,Grande,Alto,150.0,270.0,620.0
ANEXO XXXVIII,Pequeno,Alto,30.0,40.0,1.0
ANEXO XXXVIII,Pequeno,Alto,40.0,50.0,1.0
ANEXO XXXVIII,Grande,Alto,50.0,60.0,1.0
ANEXO XXXVIII,Grande,Alto,60.0,70.0,1.0
