ANEXO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO
ANEXO II,Mínimo,Médio,10.0,10.0,10.0
ANEXO II,Mínimo,Alto,10.0,12.0,12.0
ANEXO II,Mínimo,Baixo,10.0,10.0,16.0
ANEXO II,Pequeno,Médio,10.0,14.0,20.0
ANEXO II,Pequeno,Alto,10.0,25.0,40.0
ANEXO II,Pequeno,Baixo,10.0,18.0,25.0
ANEXO II,Médio,Médio,10.0,30.0,75.0
ANEXO II,Médio,Alto,10.0,100.0,180.0
ANEXO II,Médio,Baixo,10.0,45.0,90.0
ANEXO II,Grande,Médio,10.0,90.0,150.0
ANEXO II,Grande,Alto,10.0,180.0,280.0
ANEXO II,Grande,Baixo,10.0,90.0,180.0
ANEXO II,Excepcional,Médio,10.0,180.0,320.0
ANEXO II,Excepcional,Alto,10.0,300.0,500.0
ANEXO III,Médio,Médio,20.0,20.0,20.0
ANEXO IV,Mínimo,Alto,20.0,40.0,150.0
ANEXO IV,Pequeno,Alto,30.0,80.0,240.0
ANEXO IV,Médio,Alto,40.0,110.0,350.0
ANEXO IV,Grande,Alto,50.0,150.0,450.0
ANEXO IV,Excepcional,Alto,60.0,180.0,550.0
ANEXO V,Mínimo,Alto,5.0,5.0,10.0
ANEXO V,Pequeno,Alto,5.0,7.0,12.0
ANEXO V,Médio,Alto,5.0,10.0,15.0
ANEXO V,Grande,Alto,5.0,15.0,20.0
ANEXO V,Excepcional,Alto,5.0,20.0,25.0
ANEXO VIII,Médio,Alto,35.0,70.0,70.0
ANEXO IX,Médio,Alto,40.0,45.0,50.0
ANEXO X,Médio,Alto,50.0,100.0,120.0
ANEXO XI,Médio,Alto,35.0,40.0,45.0
ANEXO XI,Grande,Alto,40.0,50.0,60.0
ANEXO XV,Mínimo,Alto,10.0,20.0,40.0
ANEXO XV,Médio,Alto,10.0,35.0,100.0
ANEXO XVI,Médio,Alto,20.0,50.0,150.0
ANEXO XVII,Médio,Médio,10.0,45.0,120.0
ANEXO XVII,Médio,Alto,10.0,80.0,170.0
ANEXO XVII,Médio,Baixo,10.0,35.0,100.0
ANEXO XVII,Grande,Baixo,10.0,55.0,150.0
ANEXO XVII,Grande,Médio,10.0,100.0,240.0
ANEXO XVII,Grande,Alto,10.0,150.0,300.0
ANEXO XVIII,Médio,Médio,10.0,15.0,40.0
ANEXO XIX,Mínimo,Médio,10.0,10.0,10.0
ANEXO XIX,Mínimo,Alto,12.0,12.0,20.0
ANEXO XIX,Mínimo,Baixo,10.0,10.0,16.0
ANEXO XIX,Pequeno,Médio,10.0,14.0,14.0
ANEXO XIX,Pequeno,Alto,30.0,30.0,60.0
ANEXO XIX,Pequeno,Baixo,40.0,40.0,40.0
ANEXO XIX,Médio,Médio,10.0,30.0,50.0
ANEXO XIX,Médio,Alto,130.0,130.0,400.0
