CSV_ROW,STATUS,ANEXO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO,VALORES_ENCONTRADOS_NO_PDF_PARA_CHAVE
1,MATCH_EXATO,ANEXO III,Mínimo,Médio,10.0,10.0,10.0,
2,MATCH_EXATO,ANEXO III,Pequeno,Médio,15.0,15.0,15.0,
3,CHAVE_OK_VALOR_DIVERGENTE,ANEXO III,Pequeno,Médio,20.0,20.0,20.0,TLP=15.0 TLI=15.0 TLO=15.0
4,MATCH_EXATO,ANEXO III,Grande,Médio,25.0,25.0,25.0,
5,MATCH_EXATO,ANEXO III,Excepcional,Médio,30.0,30.0,30.0,
6,MATCH_EXATO,ANEXO IX,Mínimo,Alto,30.0,35.0,40.0,
7,MATCH_EXATO,ANEXO IX,Pequeno,Alto,35.0,40.0,45.0,
8,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO IX,Pequeno,Médio,40.0,45.0,50.0,
9,MATCH_EXATO,ANEXO IX,Grande,Alto,45.0,50.0,55.0,
10,MATCH_EXATO,ANEXO IX,Excepcional,Alto,60.0,80.0,90.0,
11,MATCH_EXATO,ANEXO VII,-,Alto,10.0,15.0,50.0,
12,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO VII,Mínimo,Alto,20.0,30.0,30.0,
13,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO VII,Pequeno,Alto,30.0,60.0,60.0,
14,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO VII,Pequeno,Médio,40.0,90.0,90.0,
15,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO VII,Grande,Alto,50.0,100.0,120.0,
16,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO VII,Excepcional,Alto,60.0,120.0,150.0,
17,MATCH_EXATO,ANEXO VIII,Mínimo,Alto,15.0,25.0,25.0,
18,MATCH_EXATO,ANEXO VIII,Pequeno,Alto,25.0,50.0,50.0,
19,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO VIII,Pequeno,Médio,35.0,70.0,70.0,
20,MATCH_EXATO,ANEXO VIII,Grande,Alto,40.0,80.0,100.0,
21,MATCH_EXATO,ANEXO VIII,Excepcional,Alto,50.0,100.0,120.0,
22,MATCH_EXATO,ANEXO X,Mínimo,Alto,30.0,60.0,60.0,
23,MATCH_EXATO,ANEXO X,Pequeno,Alto,40.0,90.0,90.0,
24,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO X,Pequeno,Médio,50.0,100.0,120.0,
25,MATCH_EXATO,ANEXO X,Grande,Alto,60.0,120.0,150.0,
26,MATCH_EXATO,ANEXO X,Excepcional,Alto,90.0,150.0,180.0,
27,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XI,-,Alto,10.0,35.0,45.0,
28,MATCH_EXATO,ANEXO XI,Mínimo,Alto,25.0,30.0,35.0,
29,MATCH_EXATO,ANEXO XI,Pequeno,Alto,30.0,35.0,40.0,
30,CHAVE_OK_VALOR_DIVERGENTE,ANEXO XI,Pequeno,Alto,40.0,50.0,60.0,TLP=30.0 TLI=35.0 TLO=40.0
31,CHAVE_OK_VALOR_DIVERGENTE,ANEXO XI,Pequeno,Alto,10.0,50.0,80.0,TLP=30.0 TLI=35.0 TLO=40.0
32,CHAVE_OK_VALOR_DIVERGENTE,ANEXO XI,Pequeno,Alto,10.0,120.0,220.0,TLP=30.0 TLI=35.0 TLO=40.0
33,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XI,Pequeno,Médio,35.0,40.0,45.0,
34,CHAVE_OK_VALOR_DIVERGENTE,ANEXO XI,Grande,Alto,10.0,200.0,300.0,TLP=40.0 TLI=50.0 TLO=60.0
35,MATCH_EXATO,ANEXO XI,Excepcional,Alto,50.0,60.0,80.0,
36,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XL,Pequeno,Médio,5.0,10.0,15.0,
37,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XL,Pequeno,Médio,10.0,15.0,30.0,
38,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XL,Grande,Médio,10.0,30.0,60.0,
39,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XL,Grande,Médio,10.0,40.0,100.0,
40,MATCH_EXATO,ANEXO XLI,Mínimo,Médio,10.0,40.0,100.0,
41,MATCH_EXATO,ANEXO XLI,Pequeno,Médio,10.0,50.0,130.0,
42,CHAVE_OK_VALOR_DIVERGENTE,ANEXO XLI,Pequeno,Médio,10.0,60.0,160.0,TLP=10.0 TLI=50.0 TLO=130.0
43,MATCH_EXATO,ANEXO XLI,Grande,Médio,10.0,70.0,190.0,
44,CHAVE_OK_VALOR_DIVERGENTE,ANEXO XLI,Grande,Médio,10.0,80.0,220.0,TLP=10.0 TLI=70.0 TLO=190.0
45,MATCH_EXATO,ANEXO XLII,Mínimo,Médio,20.0,40.0,150.0,
46,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XLIII,Pequeno,Baixo,30.0,30.0,30.0,
47,MATCH_EXATO,ANEXO XLIII,Excepcional,Baixo,60.0,60.0,60.0,
48,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XLIV,Pequeno,Alto,10.0,20.0,40.0,
49,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XLIV,Pequeno,Alto,10.0,30.0,50.0,
50,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XLIV,Pequeno,Médio,5.0,10.0,20.0,
51,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XLIV,Pequeno,Médio,5.0,20.0,30.0,
52,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XLIV,Médio,Alto,10.0,10.0,30.0,
53,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XLIV,Grande,Alto,10.0,40.0,60.0,
54,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XLIV,Grande,Médio,5.0,30.0,40.0,
55,MATCH_EXATO,ANEXO XLIV,Excepcional,Alto,10.0,50.0,70.0,
56,CHAVE_NAO_ENCONTRADA_NO_PDF,ANEXO XLIV,Excepcional,Médio,5.0,40.0,50.0,
57,MATCH_EXATO,ANEXO XLVI,Mínimo,Baixo,5.0,8.0,10.0,
