ANEXO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO
ANEXO II,Mínimo,Baixo,10.0,10.0,16.0
ANEXO XVII,Médio,Baixo,8.0,8.0,18.0
ANEXO XVII,Médio,Alto,10.0,60.0,120.0
ANEXO XVII,Médio,Baixo,10.0,35.0,100.0
ANEXO XVII,Grande,Médio,10.0,100.0,240.0
ANEXO XVII,Grande,Alto,10.0,150.0,300.0
ANEXO XIX,Mínimo,Baixo,10.0,10.0,16.0
ANEXO XXVII,Mínimo,Baixo,8.0,8.0,8.0
ANEXO XLIII,Médio,Médio,0.0,0.0,0.0
ANEXO XLIII,Médio,Baixo,30.0,30.0,30.0
ANEXO XLIII,Médio,Médio,50.0,50.0,50.0
ANEXO XLIV,Excepcional,Médio,5.0,30.0,40.0
ANEXO XLIV,Excepcional,Alto,10.0,40.0,60.0
