ANEXO,DESCRICAO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO
ANEXO II,"Tabelas de valores da TLP, TLI e TLO dos empreendimentos e atividades em geral (com exceção daqueles especificados nos anexos III a LIII)",Mínimo,Baixo,8.0,8.0,8.0
ANEXO II,"Tabelas de valores da TLP, TLI e TLO dos empreendimentos e atividades em geral (com exceção daqueles especificados nos anexos III a LIII)",Mínimo,Baixo,10.0,10.0,16.0
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Mínimo,Baixo,8.0,8.0,8.0
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Mínimo,Baixo,10.0,10.0,16.0
ANEXO XLIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 86 do ANEXO I",Médio,Baixo,0.0,0.0,0.0
ANEXO XLIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 86 do ANEXO I",Médio,Baixo,30.0,30.0,30.0
ANEXO XLIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 86 do ANEXO I",Médio,Médio,0.0,0.0,0.0
ANEXO XLIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 86 do ANEXO I",Médio,Médio,10.0,10.0,20.0
ANEXO XLIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 86 do ANEXO I",Médio,Médio,50.0,50.0,50.0
ANEXO XLIV,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 87 do ANEXO I",Excepcional,Alto,10.0,40.0,60.0
ANEXO XLIV,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 87 do ANEXO I",Excepcional,Alto,10.0,50.0,70.0
ANEXO XLIV,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 87 do ANEXO I",Excepcional,Médio,5.0,30.0,40.0
ANEXO XLIV,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 87 do ANEXO I",Excepcional,Médio,5.0,40.0,50.0
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 18 do ANEXO I",Grande,Alto,10.0,100.0,230.0
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 18 do ANEXO I",Grande,Alto,10.0,150.0,300.0
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 18 do ANEXO I",Grande,Médio,10.0,60.0,180.0
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 18 do ANEXO I",Grande,Médio,10.0,100.0,240.0
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 18 do ANEXO I",Médio,Alto,10.0,60.0,120.0
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 18 do ANEXO I",Médio,Alto,10.0,80.0,170.0
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 18 do ANEXO I",Médio,Baixo,8.0,8.0,18.0
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 18 do ANEXO I",Médio,Baixo,10.0,25.0,50.0
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 18 do ANEXO I",Médio,Baixo,10.0,35.0,100.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Mínimo,Baixo,5.0,5.0,5.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Mínimo,Baixo,8.0,8.0,8.0
