CSV_ROW,STATUS,ANEXO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO,VALORES_ENCONTRADOS_NO_PDF_PARA_CHAVE
1,MATCH_EXATO,ANEXO II,Mínimo,Baixo,8.0,8.0,8.0,
2,MATCH_EXATO,ANEXO II,Mínimo,Médio,10.0,10.0,10.0,
3,MATCH_EXATO,ANEXO II,Mínimo,Alto,10.0,12.0,12.0,
4,MATCH_EXATO,ANEXO II,Mínimo,Baixo,10.0,10.0,16.0,
5,MATCH_EXATO,ANEXO II,Pequeno,Médio,10.0,14.0,20.0,
6,MATCH_EXATO,ANEXO II,Pequeno,Alto,10.0,25.0,40.0,
7,MATCH_EXATO,ANEXO II,Pequeno,Baixo,10.0,18.0,25.0,
8,MATCH_EXATO,ANEXO II,Médio,Médio,10.0,30.0,75.0,
9,MATCH_EXATO,ANEXO II,Médio,Alto,10.0,100.0,180.0,
10,MATCH_EXATO,ANEXO II,Médio,Baixo,10.0,45.0,90.0,
11,MATCH_EXATO,ANEXO II,Grande,Médio,10.0,90.0,150.0,
12,MATCH_EXATO,ANEXO II,Grande,Alto,10.0,180.0,280.0,
13,MATCH_EXATO,ANEXO II,Grande,Baixo,10.0,90.0,180.0,
14,MATCH_EXATO,ANEXO II,Excepcional,Médio,10.0,180.0,320.0,
15,MATCH_EXATO,ANEXO II,Excepcional,Alto,10.0,300.0,500.0,
16,MATCH_EXATO,ANEXO III,Mínimo,Médio,10.0,10.0,10.0,
17,MATCH_EXATO,ANEXO III,Pequeno,Médio,15.0,15.0,15.0,
18,MATCH_EXATO,ANEXO III,Médio,Médio,20.0,20.0,20.0,
19,MATCH_EXATO,ANEXO III,Grande,Médio,25.0,25.0,25.0,
20,MATCH_EXATO,ANEXO III,Excepcional,Médio,30.0,30.0,30.0,
21,MATCH_EXATO,ANEXO IV,Mínimo,Alto,20.0,40.0,150.0,
22,MATCH_EXATO,ANEXO IV,Pequeno,Alto,30.0,80.0,240.0,
23,MATCH_EXATO,ANEXO IV,Médio,Alto,40.0,110.0,350.0,
24,MATCH_EXATO,ANEXO IV,Grande,Alto,50.0,150.0,450.0,
25,MATCH_EXATO,ANEXO IV,Excepcional,Alto,60.0,180.0,550.0,
26,MATCH_EXATO,ANEXO V,Mínimo,Alto,5.0,5.0,10.0,
27,MATCH_EXATO,ANEXO V,Pequeno,Alto,5.0,7.0,12.0,
28,MATCH_EXATO,ANEXO V,Médio,Alto,5.0,10.0,15.0,
29,MATCH_EXATO,ANEXO V,Grande,Alto,5.0,15.0,20.0,
30,MATCH_EXATO,ANEXO V,Excepcional,Alto,5.0,20.0,25.0,
31,MATCH_EXATO,ANEXO VII,-,Alto,10.0,15.0,50.0,
32,MATCH_EXATO,ANEXO VIII,Mínimo,Alto,15.0,25.0,25.0,
33,MATCH_EXATO,ANEXO VIII,Pequeno,Alto,25.0,50.0,50.0,
34,MATCH_EXATO,ANEXO VIII,Médio,Alto,35.0,70.0,70.0,
35,MATCH_EXATO,ANEXO VIII,Grande,Alto,40.0,80.0,100.0,
36,MATCH_EXATO,ANEXO VIII,Excepcional,Alto,50.0,100.0,120.0,
37,MATCH_EXATO,ANEXO IX,Mínimo,Alto,30.0,35.0,40.0,
38,MATCH_EXATO,ANEXO IX,Pequeno,Alto,35.0,40.0,45.0,
39,MATCH_EXATO,ANEXO IX,Médio,Alto,40.0,45.0,50.0,
40,MATCH_EXATO,ANEXO IX,Grande,Alto,45.0,50.0,55.0,
41,MATCH_EXATO,ANEXO IX,Excepcional,Alto,60.0,80.0,90.0,
42,MATCH_EXATO,ANEXO X,Mínimo,Alto,30.0,60.0,60.0,
43,MATCH_EXATO,ANEXO X,Pequeno,Alto,40.0,90.0,90.0,
44,MATCH_EXATO,ANEXO X,Médio,Alto,50.0,100.0,120.0,
45,MATCH_EXATO,ANEXO X,Grande,Alto,60.0,120.0,150.0,
46,MATCH_EXATO,ANEXO X,Excepcional,Alto,90.0,150.0,180.0,
47,MATCH_EXATO,ANEXO XI,Mínimo,Alto,25.0,30.0,35.0,
48,MATCH_EXATO,ANEXO XI,Pequeno,Alto,30.0,35.0,40.0,
49,MATCH_EXATO,ANEXO XI,Médio,Alto,35.0,40.0,45.0,
50,MATCH_EXATO,ANEXO XI,Grande,Alto,40.0,50.0,60.0,
51,MATCH_EXATO,ANEXO XI,Excepcional,Alto,50.0,60.0,80.0,
52,MATCH_EXATO,ANEXO XV,Mínimo,Alto,10.0,20.0,40.0,
53,MATCH_EXATO,ANEXO XV,Pequeno,Alto,10.0,25.0,60.0,
54,MATCH_EXATO,ANEXO XV,Médio,Alto,10.0,35.0,100.0,
55,MATCH_EXATO,ANEXO XV,Grande,Alto,10.0,60.0,150.0,
56,MATCH_EXATO,ANEXO XV,Excepcional,Alto,10.0,90.0,250.0,
57,MATCH_EXATO,ANEXO XVI,Mínimo,Alto,10.0,12.0,12.0,
58,MATCH_EXATO,ANEXO XVI,Pequeno,Alto,15.0,25.0,40.0,
59,MATCH_EXATO,ANEXO XVI,Médio,Alto,20.0,50.0,150.0,
60,MATCH_EXATO,ANEXO XVI,Grande,Alto,30.0,100.0,300.0,
61,MATCH_EXATO,ANEXO XVII,Médio,Baixo,8.0,8.0,18.0,
62,MATCH_EXATO,ANEXO XVII,Médio,Alto,10.0,60.0,120.0,
63,MATCH_EXATO,ANEXO XVII,Médio,Baixo,10.0,25.0,50.0,
64,MATCH_EXATO,ANEXO XVII,Médio,Médio,10.0,45.0,120.0,
65,MATCH_EXATO,ANEXO XVII,Médio,Alto,10.0,80.0,170.0,
66,MATCH_EXATO,ANEXO XVII,Médio,Baixo,10.0,35.0,100.0,
67,MATCH_EXATO,ANEXO XVII,Grande,Médio,10.0,60.0,180.0,
68,MATCH_EXATO,ANEXO XVII,Grande,Alto,10.0,100.0,230.0,
