anexo,descricao_tabela,porte,potencial_poluidor,tlp_ufar,tli_ufar,tlo_ufar,fonte,tlp_upfs,tli_upfs,tlo_upfs
ANEXOIIA-1–RecicladoresdeResíduos,"TabeladevaloresdaTLP,TLIeTLO.",Mínimo,Médio,2.0,3.0,4.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOIIA-1–RecicladoresdeResíduos,"TabeladevaloresdaTLP,TLIeTLO.",Pequeno,Médio,2.0,3.0,6.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOIIA-1–RecicladoresdeResíduos,"TabeladevaloresdaTLP,TLIeTLO.",Pequeno,Médio,3.0,4.0,8.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOIIA-1–RecicladoresdeResíduos,"TabeladevaloresdaTLP,TLIeTLO.",Grande,Médio,3.0,4.0,10.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOIIA-1–RecicladoresdeResíduos,"TabeladevaloresdaTLP,TLIeTLO.",Excepcional,Médio,4.0,5.0,12.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOII-A-AQUICULTORFAMILIAR,"TabeladevaloresdaTLP,TLIeTLO",Mínimo,Baixo,2.0,2.0,6.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOII-A-AQUICULTORFAMILIAR,"TabeladevaloresdaTLP,TLIeTLO",Mínimo,Alto,3.0,3.0,7.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOII-A-AQUICULTORFAMILIAR,"TabeladevaloresdaTLP,TLIeTLO",Pequeno,Baixo,2.0,2.0,6.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOII-A-AQUICULTORFAMILIAR,"TabeladevaloresdaTLP,TLIeTLO",Pequeno,Alto,4.0,4.0,8.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOII-A-AQUICULTORFAMILIAR,"TabeladevaloresdaTLP,TLIeTLO",Pequeno,Médio,2.0,2.0,6.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOII-A-AQUICULTORFAMILIAR,"TabeladevaloresdaTLP,TLIeTLO",Pequeno,Alto,5.0,5.0,5.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOII-A-AQUICULTORFAMILIAR,"TabeladevaloresdaTLP,TLIeTLO",Grande,Baixo,4.0,4.0,7.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOII-A-AQUICULTORFAMILIAR,"TabeladevaloresdaTLP,TLIeTLO",Grande,Alto,6.0,6.0,9.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOII-A-AQUICULTORFAMILIAR,"TabeladevaloresdaTLP,TLIeTLO",Excepcional,Baixo,6.0,6.0,9.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOII-A-AQUICULTORFAMILIAR,"TabeladevaloresdaTLP,TLIeTLO",Excepcional,Alto,7.0,7.0,15.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOII-B-AQUICULTOREMPRESARIAL,"TabeladevaloresdaTLP,TLIeTLO.",Mínimo,Baixo,4.0,4.0,6.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOII-B-AQUICULTOREMPRESARIAL,"TabeladevaloresdaTLP,TLIeTLO.",Mínimo,Alto,6.0,6.0,8.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOII-B-AQUICULTOREMPRESARIAL,"TabeladevaloresdaTLP,TLIeTLO.",Pequeno,Baixo,6.0,6.0,8.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOII-B-AQUICULTOREMPRESARIAL,"TabeladevaloresdaTLP,TLIeTLO.",Pequeno,Alto,8.0,8.0,10.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOII-B-AQUICULTOREMPRESARIAL,"TabeladevaloresdaTLP,TLIeTLO.",Pequeno,Médio,8.0,8.0,12.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOII-B-AQUICULTOREMPRESARIAL,"TabeladevaloresdaTLP,TLIeTLO.",Pequeno,Alto,10.0,10.0,15.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOII-B-AQUICULTOREMPRESARIAL,"TabeladevaloresdaTLP,TLIeTLO.",Grande,Baixo,10.0,10.0,18.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOII-B-AQUICULTOREMPRESARIAL,"TabeladevaloresdaTLP,TLIeTLO.",Grande,Alto,15.0,15.0,20.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOII-B-AQUICULTOREMPRESARIAL,"TabeladevaloresdaTLP,TLIeTLO.",Excepcional,Baixo,20.0,20.0,30.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOII-B-AQUICULTOREMPRESARIAL,"TabeladevaloresdaTLP,TLIeTLO.",Excepcional,Alto,30.0,30.0,40.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM1.1doANEXOI.",Mínimo,Médio,12.0,12.0,12.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM1.1doANEXOI.",Pequeno,Médio,17.0,17.0,17.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM1.1doANEXOI.",Pequeno,Médio,23.0,23.0,23.0,Ariquemes Lei 2.349/2019 (Anexos),,,
