ANEXO,DESCRICAO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO
ANEXOII,"TabelasdevaloresdaTLP,TLIeTLOdosempreendimentoseatividadesemgeral(comexceçãodaquelesespecificadosnosanexosIIIaLIII)",Mínimo,Baixo,7,7,14
ANEXOII,"TabelasdevaloresdaTLP,TLIeTLOdosempreendimentoseatividadesemgeral(comexceçãodaquelesespecificadosnosanexosIIIaLIII)",Mínimo,Médio,8,8,18
ANEXOII,"TabelasdevaloresdaTLP,TLIeTLOdosempreendimentoseatividadesemgeral(comexceçãodaquelesespecificadosnosanexosIIIaLIII)",Mínimo,Alto,10,10,19
ANEXOII,"TabelasdevaloresdaTLP,TLIeTLOdosempreendimentoseatividadesemgeral(comexceçãodaquelesespecificadosnosanexosIIIaLIII)",Pequeno,Baixo,12,12,18
ANEXOII,"TabelasdevaloresdaTLP,TLIeTLOdosempreendimentoseatividadesemgeral(comexceçãodaquelesespecificadosnosanexosIIIaLIII)",Pequeno,Médio,12,12,23
ANEXOII,"TabelasdevaloresdaTLP,TLIeTLOdosempreendimentoseatividadesemgeral(comexceçãodaquelesespecificadosnosanexosIIIaLIII)",Pequeno,Alto,12,28,46
ANEXOII,"TabelasdevaloresdaTLP,TLIeTLOdosempreendimentoseatividadesemgeral(comexceçãodaquelesespecificadosnosanexosIIIaLIII)",Médio,Baixo,12,17,32
ANEXOII,"TabelasdevaloresdaTLP,TLIeTLOdosempreendimentoseatividadesemgeral(comexceçãodaquelesespecificadosnosanexosIIIaLIII)",Médio,Médio,12,34,86
ANEXOII,"TabelasdevaloresdaTLP,TLIeTLOdosempreendimentoseatividadesemgeral(comexceçãodaquelesespecificadosnosanexosIIIaLIII)",Médio,Alto,12,114,205
ANEXOII,"TabelasdevaloresdaTLP,TLIeTLOdosempreendimentoseatividadesemgeral(comexceçãodaquelesespecificadosnosanexosIIIaLIII)",Grande,Baixo,12,51,103
ANEXOII,"TabelasdevaloresdaTLP,TLIeTLOdosempreendimentoseatividadesemgeral(comexceçãodaquelesespecificadosnosanexosIIIaLIII)",Grande,Médio,12,103,171
ANEXOII,"TabelasdevaloresdaTLP,TLIeTLOdosempreendimentoseatividadesemgeral(comexceçãodaquelesespecificadosnosanexosIIIaLIII)",Grande,Alto,12,205,319
ANEXOII,"TabelasdevaloresdaTLP,TLIeTLOdosempreendimentoseatividadesemgeral(comexceçãodaquelesespecificadosnosanexosIIIaLIII)",Excepcional,Baixo,12,103,205
ANEXOII,"TabelasdevaloresdaTLP,TLIeTLOdosempreendimentoseatividadesemgeral(comexceçãodaquelesespecificadosnosanexosIIIaLIII)",Excepcional,Médio,12,205,365
ANEXOII,"TabelasdevaloresdaTLP,TLIeTLOdosempreendimentoseatividadesemgeral(comexceçãodaquelesespecificadosnosanexosIIIaLIII)",Excepcional,Alto,12,342,570
ANEXOIIA-1–RECICLADORESDERESÍDUOS,"TabeladevaloresdaTLP,TLIeTLO.",Mínimo,Médio,2,3,4
ANEXOIIA-1–RECICLADORESDERESÍDUOS,"TabeladevaloresdaTLP,TLIeTLO.",Pequeno,Médio,2,3,6
ANEXOIIA-1–RECICLADORESDERESÍDUOS,"TabeladevaloresdaTLP,TLIeTLO.",Médio,Médio,3,4,8
ANEXOIIA-1–RECICLADORESDERESÍDUOS,"TabeladevaloresdaTLP,TLIeTLO.",Grande,Médio,3,4,10
ANEXOIIA-1–RECICLADORESDERESÍDUOS,"TabeladevaloresdaTLP,TLIeTLO.",Excepcional,Médio,4,5,12
ANEXOIIA-1–RECICLADORESDERESÍDUOS,"TabeladevaloresdaTLP,TLIeTLO.",Mínimo,Baixo,2,2,6
ANEXOIIA-1–RECICLADORESDERESÍDUOS,"TabeladevaloresdaTLP,TLIeTLO.",Mínimo,Alto,3,3,7
ANEXOIIA-1–RECICLADORESDERESÍDUOS,"TabeladevaloresdaTLP,TLIeTLO.",Mínimo,Baixo,4,4,6
ANEXOIIA-1–RECICLADORESDERESÍDUOS,"TabeladevaloresdaTLP,TLIeTLO.",Mínimo,Alto,6,6,8
ANEXOIIA-1–RECICLADORESDERESÍDUOS,"TabeladevaloresdaTLP,TLIeTLO.",Pequeno,Baixo,6,6,8
ANEXOIIA-1–RECICLADORESDERESÍDUOS,"TabeladevaloresdaTLP,TLIeTLO.",Pequeno,Alto,8,8,10
ANEXOIIA-1–RECICLADORESDERESÍDUOS,"TabeladevaloresdaTLP,TLIeTLO.",Médio,Baixo,8,8,12
ANEXOIIA-1–RECICLADORESDERESÍDUOS,"TabeladevaloresdaTLP,TLIeTLO.",Médio,Alto,10,10,15
ANEXOIIA-1–RECICLADORESDERESÍDUOS,"TabeladevaloresdaTLP,TLIeTLO.",Grande,Baixo,10,10,18
ANEXOIIA-1–RECICLADORESDERESÍDUOS,"TabeladevaloresdaTLP,TLIeTLO.",Grande,Alto,15,15,20
ANEXOIIA-1–RECICLADORESDERESÍDUOS,"TabeladevaloresdaTLP,TLIeTLO.",Excepcional,Baixo,20,20,30
ANEXOIIA-1–RECICLADORESDERESÍDUOS,"TabeladevaloresdaTLP,TLIeTLO.",Excepcional,Alto,30,30,40
ANEXOIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM1.1doANEXOI.",Mínimo,Médio,12,12,12
ANEXOIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM1.1doANEXOI.",Pequeno,Médio,17,17,17
ANEXOIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM1.1doANEXOI.",Médio,Médio,23,23,23
ANEXOIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM1.1doANEXOI.",Grande,Médio,29,29,29
ANEXOIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM1.1doANEXOI.",Excepcional,Médio,34,34,34
ANEXOIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS2e3doANEXOI(excetoITEM3.9).",Mínimo,Alto,23,46,171
ANEXOIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS2e3doANEXOI(excetoITEM3.9).",Pequeno,Alto,34,91,274
ANEXOIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS2e3doANEXOI(excetoITEM3.9).",Médio,Alto,46,125,399
