anexo,descricao_tabela,porte,potencial_poluidor,tlp_upfs,tli_upfs,tlo_upfs
ANEXO III,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 1. 1",Mínimo,Médio,10,10,10
ANEXO III,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 1. 1",Pequeno,Médio,15,15,15
ANEXO III,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 1. 1",Pequeno,Médio,20,20,20
ANEXO III,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 1. 1",Grande,Médio,25,25,25
ANEXO III,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 1. 1",Excepcional,Médio,30,30,30
ANEXO VII,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 4.1 do ANEXO I",-,Alto,10,15,50
ANEXO VII,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 4.1 do ANEXO I",Mínimo,Alto,20,30,30
ANEXO VII,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 4.1 do ANEXO I",Pequeno,Alto,30,60,60
ANEXO VII,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 4.1 do ANEXO I",Pequeno,Médio,40,90,90
ANEXO VII,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 4.1 do ANEXO I",Grande,Alto,50,100,120
ANEXO VII,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 4.1 do ANEXO I",Excepcional,Alto,60,120,150
ANEXO VIII,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos nos itens 4.2, 4.4, 4 .7 DO ANEXO I",Mínimo,Alto,15,25,25
ANEXO VIII,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos nos itens 4.2, 4.4, 4 .7 DO ANEXO I",Pequeno,Alto,25,50,50
ANEXO VIII,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos nos itens 4.2, 4.4, 4 .7 DO ANEXO I",Pequeno,Médio,35,70,70
ANEXO VIII,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos nos itens 4.2, 4.4, 4 .7 DO ANEXO I",Grande,Alto,40,80,100
ANEXO VIII,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos nos itens 4.2, 4.4, 4 .7 DO ANEXO I",Excepcional,Alto,50,100,120
ANEXO IX,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.1 DO A NEXO I",Mínimo,Alto,30,35,40
ANEXO IX,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.1 DO A NEXO I",Pequeno,Alto,35,40,45
ANEXO IX,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.1 DO A NEXO I",Pequeno,Médio,40,45,50
ANEXO IX,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.1 DO A NEXO I",Grande,Alto,45,50,55
ANEXO IX,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.1 DO A NEXO I",Excepcional,Alto,60,80,90
ANEXO X,"Tabela de valores da TLP, TLI E TLO d as atividades e empreendimentos descritos no item 5.2 E 5.4 DO ANEXO I",Mínimo,Alto,30,60,60
ANEXO X,"Tabela de valores da TLP, TLI E TLO d as atividades e empreendimentos descritos no item 5.2 E 5.4 DO ANEXO I",Pequeno,Alto,40,90,90
ANEXO X,"Tabela de valores da TLP, TLI E TLO d as atividades e empreendimentos descritos no item 5.2 E 5.4 DO ANEXO I",Pequeno,Médio,50,100,120
ANEXO X,"Tabela de valores da TLP, TLI E TLO d as atividades e empreendimentos descritos no item 5.2 E 5.4 DO ANEXO I",Grande,Alto,60,120,150
ANEXO X,"Tabela de valores da TLP, TLI E TLO d as atividades e empreendimentos descritos no item 5.2 E 5.4 DO ANEXO I",Excepcional,Alto,90,150,180
ANEXO XI,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.3 DO ANEXO I",Mínimo,Alto,25,30,35
ANEXO XI,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.3 DO ANEXO I",Pequeno,Alto,30,35,40
ANEXO XI,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.3 DO ANEXO I",Pequeno,Médio,35,40,45
ANEXO XI,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.3 DO ANEXO I",Pequeno,Alto,40,50,60
ANEXO XI,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.3 DO ANEXO I",Excepcional,Alto,50,60,80
ANEXO XI,"Tabela de valores da TLP, TLI e TLO  das atividades e empreendim entos descritos nos ITEM  6.1 do",-,Alto,10,35,45
ANEXO XI,"Tabela de valores da TLP, TLI e TLO  das atividades e empreendim entos descritos nos ITEM  6.1 do",Pequeno,Alto,10,50,80
ANEXO XI,"Tabela de valores da TLP, TLI e TLO  das atividades e empreendim entos descritos nos ITEM  6.1 do",Pequeno,Alto,10,120,220
ANEXO XI,"Tabela de valores da TLP, TLI e TLO  das atividades e empreendim entos descritos nos ITEM  6.1 do",Grande,Alto,10,200,300
ANEXO XV,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no",-,Alto,10,20,40
ANEXO XV,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no",Pequeno,Alto,10,25,60
ANEXO XV,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no",Pequeno,Alto,10,35,100
