ANEXO,DESCRICAO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO
ANEXO III,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 1.1 do ANEXO I",Mínimo,Médio,10.0,10.0,10.0
ANEXO III,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 1.1 do ANEXO I",Pequeno,Médio,15.0,15.0,15.0
ANEXO III,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 1.1 do ANEXO I",Pequeno,Médio,20.0,20.0,20.0
ANEXO III,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 1.1 do ANEXO I",Grande,Médio,25.0,25.0,25.0
ANEXO III,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 1.1 do ANEXO I",Excepcional,Médio,30.0,30.0,30.0
ANEXO IX,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.1 DO ANEXO I",Mínimo,Alto,30.0,35.0,40.0
ANEXO IX,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.1 DO ANEXO I",Pequeno,Alto,35.0,40.0,45.0
ANEXO IX,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.1 DO ANEXO I",Pequeno,Médio,40.0,45.0,50.0
ANEXO IX,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.1 DO ANEXO I",Grande,Alto,45.0,50.0,55.0
ANEXO IX,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.1 DO ANEXO I",Excepcional,Alto,60.0,80.0,90.0
ANEXO VII,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 4.1 do ANEXO I",-,Alto,10.0,15.0,50.0
ANEXO VII,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 4.1 do ANEXO I",Mínimo,Alto,20.0,30.0,30.0
